id,path,a,b,c,root_1,root_2,equation
eqn_0054,quadratic/eqn_0054,4,37,55,-1.8608,-7.3892,37x + 55 = -4x²
eqn_0055,quadratic/eqn_0055,4,-1,-4,1.1328,-0.8828,4x² - x - 4 = 0
eqn_0056,quadratic/eqn_0056,14,-16,-96,3.2517,-2.1088,14x² - 16x = 96
eqn_0057,quadratic/eqn_0057,17,4,-20,0.9734,-1.2087,17x² + 4x = 20
eqn_0058,quadratic/eqn_0058,4,8,3,-0.5,-1.5,4x² + 8x + 3 = 0
eqn_0059,quadratic/eqn_0059,15,67,35,-0.6041,-3.8626,67x + 35 = -15x²
eqn_0060,quadratic/eqn_0060,15,-9,-43,2.0195,-1.4195,15x² - 9x = 43
eqn_0061,quadratic/eqn_0061,1,6,0,0.0,-6.0,x² + 6x = 0
eqn_0062,quadratic/eqn_0062,4,0,-2,0.7071,-0.7071, - 2 = -4x²
eqn_0063,quadratic/eqn_0063,12,-20,-39,2.8194,-1.1527,12x² - 20x = 39
eqn_0064,quadratic/eqn_0064,15,15,-50,1.393,-2.393,15x² + 15x = 50
eqn_0065,quadratic/eqn_0065,1,-17,42,-3.0,-14.0,(x + 3)(x + 14) = 0
eqn_0066,quadratic/eqn_0066,19,12,-6,0.3288,-0.9604,19x² + 12x = 6
eqn_0067,quadratic/eqn_0067,16,4,-72,2.0,-2.25,16x² + 4x = 72
eqn_0068,quadratic/eqn_0068,1,-19,34,-2.0,-17.0,(x + 2)(x + 17) = 0
eqn_0069,quadratic/eqn_0069,1,4,-437,23.0,-19.0,(x - 23)(x + 19) = 0
eqn_0070,quadratic/eqn_0070,3,3,0,0.0,-1.0,3x² + 3x = 0
eqn_0071,quadratic/eqn_0071,1,-22,105,-15.0,-7.0,(x + 15)(x + 7) = 0
eqn_0072,quadratic/eqn_0072,12,-13,-24,2.0561,-0.9727,12x² - 13x = 24
eqn_0073,quadratic/eqn_0073,1,23,102,17.0,6.0,(x - 17)(x - 6) = 0
eqn_0074,quadratic/eqn_0074,1,18,-144,24.0,-6.0,(x - 24)(x + 6) = 0
eqn_0075,quadratic/eqn_0075,4,-2,0,0.5,0.0,4x² - 2x = 0
eqn_0076,quadratic/eqn_0076,4,6,-2,0.2808,-1.7808,4x² + 6x - 2 = 0
eqn_0077,quadratic/eqn_0077,1,-9,-36,3.0,-12.0,(x - 3)(x + 12) = 0
eqn_0078,quadratic/eqn_0078,11,11,-79,2.2261,-3.2261,11x² + 11x = 79
eqn_0079,quadratic/eqn_0079,4,10,-10,0.7656,-3.2656,4x² + 10x - 10 = 0
eqn_0080,quadratic/eqn_0080,1,-8,-105,-15.0,7.0,(x + 15)(x - 7) = 0
eqn_0081,quadratic/eqn_0081,10,0,-8,0.8944,-0.8944,10x² = 8
eqn_0082,quadratic/eqn_0082,1,3,-208,-13.0,16.0,(x + 13)(x - 16) = 0
eqn_0083,quadratic/eqn_0083,17,-7,-87,2.4775,-2.0657,17x² - 7x = 87
eqn_0084,quadratic/eqn_0084,5,5,-1,0.1708,-1.1708,5x² + 5x - 1 = 0
eqn_0085,quadratic/eqn_0085,2,5,-2,0.3508,-2.8508,2x² + 5x - 2 = 0
eqn_0086,quadratic/eqn_0086,1,10,-144,-8.0,18.0,(x + 8)(x - 18) = 0
eqn_0087,quadratic/eqn_0087,3,87,69,-0.8161,-28.1839,87x + 69 = -3x²
eqn_0088,quadratic/eqn_0088,1,-46,448,-14.0,-32.0,(x + 14)(x + 32) = 0
eqn_0089,quadratic/eqn_0089,4,55,60,-1.1947,-12.5553,55x + 60 = -4x²
eqn_0090,quadratic/eqn_0090,20,12,-71,1.6079,-2.2079,20x² + 12x = 71
eqn_0091,quadratic/eqn_0091,5,9,3,-0.4417,-1.3583,5x² + 9x + 3 = 0
eqn_0092,quadratic/eqn_0092,4,54,51,-1.0218,-12.4782,54x + 51 = -4x²
eqn_0093,quadratic/eqn_0093,15,6,-20,0.9719,-1.3719,15x² + 6x = 20
eqn_0094,quadratic/eqn_0094,2,6,-3,0.4365,-3.4365,2x² + 6x - 3 = 0
eqn_0095,quadratic/eqn_0095,9,46,8,-0.1803,-4.9308,46x + 8 = -9x²
eqn_0096,quadratic/eqn_0096,4,-6,2,1.0,0.5, - 6x + 2 = -4x²
eqn_0097,quadratic/eqn_0097,1,-45,350,-10.0,-35.0,(x + 10)(x + 35) = 0
eqn_0098,quadratic/eqn_0098,1,-34,64,-2.0,-32.0,(x + 2)(x + 32) = 0
eqn_0099,quadratic/eqn_0099,10,5,-40,1.7656,-2.2656,10x² + 5x = 40
eqn_0100,quadratic/eqn_0100,8,80,25,-0.3229,-9.6771,80x + 25 = -8x²
eqn_0101,quadratic/eqn_0101,2,8,-8,0.8284,-4.8284,2x² + 8x - 8 = 0
eqn_0102,quadratic/eqn_0102,3,89,26,-0.2951,-29.3716,89x + 26 = -3x²
eqn_0103,quadratic/eqn_0103,10,58,11,-0.1963,-5.6037,58x + 11 = -10x²
eqn_0104,quadratic/eqn_0104,8,51,38,-0.8615,-5.5135,51x + 38 = -8x²
eqn_0105,quadratic/eqn_0105,5,4,-8,0.9266,-1.7266,5x² + 4x - 8 = 0
eqn_0106,quadratic/eqn_0106,5,-2,-9,1.5565,-1.1565,5x² - 2x - 9 = 0
eqn_0107,quadratic/eqn_0107,19,0,-82,2.0774,-2.0774,19x² = 82
eqn_0108,quadratic/eqn_0108,1,14,-207,23.0,-9.0,(x - 23)(x + 9) = 0
eqn_0109,quadratic/eqn_0109,10,78,70,-1.0347,-6.7653,78x + 70 = -10x²
eqn_0110,quadratic/eqn_0110,14,-7,-15,1.3149,-0.8149,14x² - 7x = 15
eqn_0111,quadratic/eqn_0111,12,12,-26,1.0546,-2.0546,12x² + 12x = 26
eqn_0112,quadratic/eqn_0112,13,72,38,-0.5908,-4.9477,72x + 38 = -13x²
eqn_0113,quadratic/eqn_0113,1,-6,-160,-16.0,10.0,(x + 16)(x - 10) = 0
eqn_0114,quadratic/eqn_0114,1,-15,50,-5.0,-10.0,(x + 5)(x + 10) = 0
eqn_0115,quadratic/eqn_0115,1,-30,189,-9.0,-21.0,(x + 9)(x + 21) = 0
eqn_0116,quadratic/eqn_0116,14,-14,-78,2.9128,-1.9128,14x² - 14x = 78
eqn_0117,quadratic/eqn_0117,1,-30,29,-1.0,-29.0,(x + 1)(x + 29) = 0
eqn_0118,quadratic/eqn_0118,15,90,11,-0.1248,-5.8752,90x + 11 = -15x²
eqn_0119,quadratic/eqn_0119,1,-31,-102,3.0,-34.0,(x - 3)(x + 34) = 0
eqn_0120,quadratic/eqn_0120,9,92,-4,0.0433,-10.2655,92x - 4 = -9x²
eqn_0121,quadratic/eqn_0121,5,10,-5,0.4142,-2.4142,5x² + 10x - 5 = 0
eqn_0122,quadratic/eqn_0122,12,91,-6,0.0654,-7.6487,91x - 6 = -12x²
eqn_0123,quadratic/eqn_0123,1,17,-168,24.0,-7.0,(x - 24)(x + 7) = 0
eqn_0124,quadratic/eqn_0124,19,-13,-42,1.8677,-1.1835,19x² - 13x = 42
eqn_0125,quadratic/eqn_0125,3,19,13,-0.7804,-5.553,19x + 13 = -3x²
eqn_0126,quadratic/eqn_0126,10,13,-68,2.0375,-3.3375,10x² + 13x = 68
eqn_0127,quadratic/eqn_0127,16,-23,-69,2.9163,-1.4788,16x² - 23x = 69
eqn_0128,quadratic/eqn_0128,15,64,9,-0.1456,-4.1211,64x + 9 = -15x²
eqn_0129,quadratic/eqn_0129,8,60,21,-0.3681,-7.1319,60x + 21 = -8x²
eqn_0130,quadratic/eqn_0130,4,1,0,0.0,-0.25,4x² + x = 0
eqn_0131,quadratic/eqn_0131,12,23,-90,1.9431,-3.8598,12x² + 23x = 90
eqn_0132,quadratic/eqn_0132,10,6,-14,0.9207,-1.5207,10x² + 6x = 14
eqn_0133,quadratic/eqn_0133,13,4,-90,2.4818,-2.7895,13x² + 4x = 90
eqn_0134,quadratic/eqn_0134,18,-13,-58,2.1921,-1.4699,18x² - 13x = 58
eqn_0135,quadratic/eqn_0135,11,23,-76,1.7833,-3.8742,11x² + 23x = 76
eqn_0136,quadratic/eqn_0136,1,2,-7,1.8284,-3.8284,x² + 2x - 7 = 0
eqn_0137,quadratic/eqn_0137,3,-1,-6,1.5907,-1.2573,3x² - x - 6 = 0
eqn_0138,quadratic/eqn_0138,14,72,25,-0.3745,-4.7684,72x + 25 = -14x²
eqn_0139,quadratic/eqn_0139,7,76,12,-0.1603,-10.6969,76x + 12 = -7x²
eqn_0140,quadratic/eqn_0140,2,7,-6,0.7122,-4.2122,2x² + 7x - 6 = 0
eqn_0141,quadratic/eqn_0141,11,77,35,-0.4887,-6.5113,77x + 35 = -11x²
eqn_0142,quadratic/eqn_0142,1,7,7,-1.2087,-5.7913,x² + 7x + 7 = 0
eqn_0143,quadratic/eqn_0143,14,83,27,-0.3454,-5.5831,83x + 27 = -14x²
eqn_0144,quadratic/eqn_0144,9,10,-6,0.432,-1.5431,10x - 6 = -9x²
eqn_0145,quadratic/eqn_0145,1,-11,-126,7.0,-18.0,(x - 7)(x + 18) = 0
eqn_0146,quadratic/eqn_0146,2,10,-6,0.5414,-5.5414,2x² + 10x - 6 = 0
eqn_0147,quadratic/eqn_0147,14,-24,-79,3.3825,-1.6682,14x² - 24x = 79
eqn_0148,quadratic/eqn_0148,1,-18,56,-4.0,-14.0,(x + 4)(x + 14) = 0
eqn_0149,quadratic/eqn_0149,1,-6,-391,17.0,-23.0,(x - 17)(x + 23) = 0
eqn_0150,quadratic/eqn_0150,1,24,80,20.0,4.0,(x - 20)(x - 4) = 0
eqn_0151,quadratic/eqn_0151,3,5,-5,0.7033,-2.3699,3x² + 5x - 5 = 0
eqn_0152,quadratic/eqn_0152,4,10,-7,0.57,-3.07,4x² + 10x - 7 = 0
eqn_0153,quadratic/eqn_0153,3,5,1,-0.2324,-1.4343,3x² + 5x + 1 = 0
eqn_0154,quadratic/eqn_0154,7,45,4,-0.0902,-6.3384,45x + 4 = -7x²
eqn_0155,quadratic/eqn_0155,3,10,-3,0.277,-3.6103,3x² + 10x - 3 = 0
eqn_0156,quadratic/eqn_0156,15,-4,-8,0.8757,-0.609,15x² - 4x = 8
eqn_0157,quadratic/eqn_0157,1,-2,-143,11.0,-13.0,(x - 11)(x + 13) = 0
eqn_0158,quadratic/eqn_0158,2,8,-4,0.4495,-4.4495,2x² + 8x - 4 = 0
eqn_0159,quadratic/eqn_0159,8,28,15,-0.6603,-2.8397,28x + 15 = -8x²
eqn_0160,quadratic/eqn_0160,11,19,-28,0.9506,-2.6778,11x² + 19x = 28
eqn_0161,quadratic/eqn_0161,20,-13,-62,2.1154,-1.4654,20x² - 13x = 62
eqn_0162,quadratic/eqn_0162,15,40,3,-0.0772,-2.5894,40x + 3 = -15x²
eqn_0163,quadratic/eqn_0163,1,11,-276,-12.0,23.0,(x + 12)(x - 23) = 0
eqn_0164,quadratic/eqn_0164,5,4,-3,0.4718,-1.2718,5x² + 4x - 3 = 0
eqn_0165,quadratic/eqn_0165,4,57,21,-0.3785,-13.8715,57x + 21 = -4x²
eqn_0166,quadratic/eqn_0166,14,6,-58,1.8324,-2.2609,14x² + 6x = 58
eqn_0167,quadratic/eqn_0167,9,82,58,-0.7729,-8.3382,82x + 58 = -9x²
eqn_0168,quadratic/eqn_0168,4,92,-1,0.0109,-23.0109,92x - 1 = -4x²
eqn_0169,quadratic/eqn_0169,5,46,76,-2.1587,-7.0413,46x + 76 = -5x²
eqn_0170,quadratic/eqn_0170,15,-8,-99,2.8495,-2.3162,15x² - 8x = 99
eqn_0171,quadratic/eqn_0171,1,10,-144,18.0,-8.0,(x - 18)(x + 8) = 0
eqn_0172,quadratic/eqn_0172,3,-1,-10,2.0,-1.6667,3x² - x - 10 = 0
eqn_0173,quadratic/eqn_0173,4,-2,-6,1.5,-1.0,4x² - 2x - 6 = 0
eqn_0174,quadratic/eqn_0174,19,-18,-76,2.529,-1.5816,19x² - 18x = 76
eqn_0175,quadratic/eqn_0175,14,4,-5,0.4716,-0.7573,14x² + 4x = 5
eqn_0176,quadratic/eqn_0176,15,-1,-45,1.7657,-1.699,15x² - x = 45
eqn_0177,quadratic/eqn_0177,19,-16,-37,1.8787,-1.0366,19x² - 16x = 37
eqn_0178,quadratic/eqn_0178,3,58,25,-0.4411,-18.8922,58x + 25 = -3x²
eqn_0179,quadratic/eqn_0179,1,-25,144,-9.0,-16.0,(x + 9)(x + 16) = 0
eqn_0180,quadratic/eqn_0180,2,10,-9,0.7787,-5.7787,2x² + 10x - 9 = 0
eqn_0181,quadratic/eqn_0181,16,10,-2,0.1594,-0.7844,16x² + 10x = 2
eqn_0182,quadratic/eqn_0182,4,33,55,-2.3179,-5.9321,33x + 55 = -4x²
eqn_0183,quadratic/eqn_0183,16,-19,-50,2.4586,-1.2711,16x² - 19x = 50
eqn_0184,quadratic/eqn_0184,1,-29,-210,6.0,-35.0,(x - 6)(x + 35) = 0
eqn_0185,quadratic/eqn_0185,17,-7,-51,1.9501,-1.5384,17x² - 7x = 51
eqn_0186,quadratic/eqn_0186,1,-3,-88,8.0,-11.0,(x - 8)(x + 11) = 0
eqn_0187,quadratic/eqn_0187,9,69,18,-0.2704,-7.3963,69x + 18 = -9x²
eqn_0188,quadratic/eqn_0188,6,78,66,-0.9098,-12.0902,78x + 66 = -6x²
eqn_0189,quadratic/eqn_0189,1,-30,224,-16.0,-14.0,(x + 16)(x + 14) = 0
eqn_0190,quadratic/eqn_0190,1,-31,210,-10.0,-21.0,(x + 10)(x + 21) = 0
eqn_0191,quadratic/eqn_0191,1,-13,-140,7.0,-20.0,(x - 7)(x + 20) = 0
eqn_0192,quadratic/eqn_0192,7,79,54,-0.7309,-10.5548,79x + 54 = -7x²
eqn_0193,quadratic/eqn_0193,9,77,7,-0.0919,-8.4637,77x + 7 = -9x²
eqn_0194,quadratic/eqn_0194,5,60,20,-0.3431,-11.6569,60x + 20 = -5x²
eqn_0195,quadratic/eqn_0195,13,17,-95,2.1274,-3.4351,13x² + 17x = 95
eqn_0196,quadratic/eqn_0196,14,18,-44,1.2429,-2.5286,14x² + 18x = 44
eqn_0197,quadratic/eqn_0197,15,0,-63,2.0494,-2.0494,15x² = 63
eqn_0198,quadratic/eqn_0198,17,15,-18,0.6784,-1.5608,17x² + 15x = 18
eqn_0199,quadratic/eqn_0199,14,11,-83,2.0735,-2.8592,14x² + 11x = 83
eqn_0200,quadratic/eqn_0200,10,82,17,-0.2128,-7.9872,82x + 17 = -10x²
eqn_0201,quadratic/eqn_0201,1,9,8,-1.0,-8.0,x² + 9x + 8 = 0
eqn_0202,quadratic/eqn_0202,3,6,-3,0.4142,-2.4142,3x² + 6x - 3 = 0
eqn_0203,quadratic/eqn_0203,1,5,-8,1.2749,-6.2749,x² + 5x - 8 = 0
eqn_0204,quadratic/eqn_0204,14,50,42,-1.3512,-2.2202,50x + 42 = -14x²
eqn_0205,quadratic/eqn_0205,7,46,22,-0.5193,-6.0521,46x + 22 = -7x²
eqn_0206,quadratic/eqn_0206,1,19,-42,21.0,-2.0,(x - 21)(x + 2) = 0
eqn_0207,quadratic/eqn_0207,5,4,-1,0.2,-1.0,5x² + 4x - 1 = 0
eqn_0208,quadratic/eqn_0208,1,20,75,5.0,15.0,(x - 5)(x - 15) = 0
eqn_0209,quadratic/eqn_0209,1,3,0,0.0,-3.0,x² + 3x = 0
eqn_0210,quadratic/eqn_0210,12,73,50,-0.7867,-5.2967,73x + 50 = -12x²
eqn_0211,quadratic/eqn_0211,11,-17,-44,2.9168,-1.3714,11x² - 17x = 44
eqn_0212,quadratic/eqn_0212,4,61,13,-0.2162,-15.0338,61x + 13 = -4x²
eqn_0213,quadratic/eqn_0213,5,76,13,-0.173,-15.027,76x + 13 = -5x²
eqn_0214,quadratic/eqn_0214,1,-35,66,-2.0,-33.0,(x + 2)(x + 33) = 0
eqn_0215,quadratic/eqn_0215,3,9,1,-0.1156,-2.8844,3x² + 9x + 1 = 0
eqn_0216,quadratic/eqn_0216,4,94,24,-0.2582,-23.2418,94x + 24 = -4x²
eqn_0217,quadratic/eqn_0217,18,17,1,-0.063,-0.8814,18x² + 17x = -1
eqn_0218,quadratic/eqn_0218,1,-23,-140,5.0,-28.0,(x - 5)(x + 28) = 0
eqn_0219,quadratic/eqn_0219,20,-11,-89,2.4024,-1.8524,20x² - 11x = 89
eqn_0220,quadratic/eqn_0220,1,6,3,-0.5505,-5.4495,x² + 6x + 3 = 0
eqn_0221,quadratic/eqn_0221,4,9,-9,0.75,-3.0,4x² + 9x - 9 = 0
eqn_0222,quadratic/eqn_0222,6,51,39,-0.8496,-7.6504,51x + 39 = -6x²
eqn_0223,quadratic/eqn_0223,9,83,3,-0.0363,-9.1859,83x + 3 = -9x²
eqn_0224,quadratic/eqn_0224,16,8,-42,1.3894,-1.8894,16x² + 8x = 42
eqn_0225,quadratic/eqn_0225,13,-17,-78,3.1891,-1.8814,13x² - 17x = 78
eqn_0226,quadratic/eqn_0226,9,77,2,-0.0261,-8.5295,77x + 2 = -9x²
eqn_0227,quadratic/eqn_0227,1,2,-3,3.0,-1.0,(x - 3)(x + 1) = 0
eqn_0228,quadratic/eqn_0228,1,-23,-420,12.0,-35.0,(x - 12)(x + 35) = 0
eqn_0229,quadratic/eqn_0229,12,10,-58,1.821,-2.6543,12x² + 10x = 58
eqn_0230,quadratic/eqn_0230,1,11,-152,-8.0,19.0,(x + 8)(x - 19) = 0
eqn_0231,quadratic/eqn_0231,17,-7,-51,1.9501,-1.5384,17x² - 7x = 51
eqn_0232,quadratic/eqn_0232,1,20,-96,24.0,-4.0,(x - 24)(x + 4) = 0
eqn_0233,quadratic/eqn_0233,1,-3,-154,11.0,-14.0,(x - 11)(x + 14) = 0
eqn_0234,quadratic/eqn_0234,19,-15,-14,1.3395,-0.5501,19x² - 15x = 14
eqn_0235,quadratic/eqn_0235,1,-17,16,-1.0,-16.0,(x + 1)(x + 16) = 0
eqn_0236,quadratic/eqn_0236,1,-2,-1,2.4142,-0.4142,x² - 2x - 1 = 0
eqn_0237,quadratic/eqn_0237,10,-15,-9,1.9593,-0.4593,10x² - 15x = 9
eqn_0238,quadratic/eqn_0238,1,-2,-255,15.0,-17.0,(x - 15)(x + 17) = 0
eqn_0239,quadratic/eqn_0239,13,-21,-15,2.1516,-0.5363,13x² - 21x = 15
eqn_0240,quadratic/eqn_0240,15,-3,-79,2.3971,-2.1971,15x² - 3x = 79
eqn_0241,quadratic/eqn_0241,1,8,3,-0.3944,-7.6056,x² + 8x + 3 = 0
eqn_0242,quadratic/eqn_0242,20,25,0,0.0,-1.25,20x² + 25x = 0
eqn_0243,quadratic/eqn_0243,5,92,44,-0.4914,-17.9086,92x + 44 = -5x²
eqn_0244,quadratic/eqn_0244,1,33,252,12.0,21.0,(x - 12)(x - 21) = 0
eqn_0245,quadratic/eqn_0245,3,8,-10,0.9274,-3.5941,3x² + 8x - 10 = 0
eqn_0246,quadratic/eqn_0246,12,-13,-74,3.0833,-2.0,12x² - 13x = 74
eqn_0247,quadratic/eqn_0247,4,22,19,-1.0729,-4.4271,22x + 19 = -4x²
eqn_0248,quadratic/eqn_0248,4,7,0,0.0,-1.75,4x² + 7x = 0
eqn_0249,quadratic/eqn_0249,1,10,-264,22.0,-12.0,(x - 22)(x + 12) = 0
eqn_0250,quadratic/eqn_0250,7,57,78,-1.7404,-6.4025,57x + 78 = -7x²
eqn_0251,quadratic/eqn_0251,1,18,-175,-7.0,25.0,(x + 7)(x - 25) = 0
eqn_0252,quadratic/eqn_0252,5,86,54,-0.6527,-16.5473,86x + 54 = -5x²
eqn_0253,quadratic/eqn_0253,4,4,-5,0.7247,-1.7247,4x² + 4x - 5 = 0
eqn_0254,quadratic/eqn_0254,2,4,-7,1.1213,-3.1213,2x² + 4x - 7 = 0
eqn_0255,quadratic/eqn_0255,5,91,27,-0.3017,-17.8983,91x + 27 = -5x²
eqn_0256,quadratic/eqn_0256,1,7,-260,20.0,-13.0,(x - 20)(x + 13) = 0
eqn_0257,quadratic/eqn_0257,15,90,-5,0.0551,-6.0551,90x - 5 = -15x²
eqn_0258,quadratic/eqn_0258,11,18,-72,1.8679,-3.5042,11x² + 18x = 72
eqn_0259,quadratic/eqn_0259,1,19,18,1.0,18.0,(x - 1)(x - 18) = 0
eqn_0260,quadratic/eqn_0260,14,0,-95,2.6049,-2.6049,14x² = 95
eqn_0261,quadratic/eqn_0261,1,-1,0,1.0,0.0,x² - x = 0
eqn_0262,quadratic/eqn_0262,1,-2,-195,13.0,-15.0,(x - 13)(x + 15) = 0
eqn_0263,quadratic/eqn_0263,18,13,-32,1.0203,-1.7425,18x² + 13x = 32
eqn_0264,quadratic/eqn_0264,8,43,-4,0.0915,-5.4665,43x - 4 = -8x²
eqn_0265,quadratic/eqn_0265,1,33,216,9.0,24.0,(x - 9)(x - 24) = 0
eqn_0266,quadratic/eqn_0266,12,77,-9,0.1148,-6.5315,77x - 9 = -12x²
eqn_0267,quadratic/eqn_0267,1,-3,-108,9.0,-12.0,(x - 9)(x + 12) = 0
eqn_0268,quadratic/eqn_0268,9,92,0,0.0,-10.2222,92x = -9x²
eqn_0269,quadratic/eqn_0269,19,9,-58,1.5263,-2.0,19x² + 9x = 58
eqn_0270,quadratic/eqn_0270,2,1,-2,0.7808,-1.2808,2x² + x - 2 = 0
eqn_0271,quadratic/eqn_0271,3,51,46,-0.9557,-16.0443,51x + 46 = -3x²
eqn_0272,quadratic/eqn_0272,1,10,-7,0.6569,-10.6569,x² + 10x - 7 = 0
eqn_0273,quadratic/eqn_0273,12,-13,-96,3.4215,-2.3382,12x² - 13x = 96
eqn_0274,quadratic/eqn_0274,1,1,-420,21.0,-20.0,(x - 21)(x + 20) = 0
eqn_0275,quadratic/eqn_0275,11,-16,-22,2.3175,-0.863,11x² - 16x = 22
eqn_0276,quadratic/eqn_0276,11,58,5,-0.0877,-5.1851,58x + 5 = -11x²
eqn_0277,quadratic/eqn_0277,2,9,5,-0.6492,-3.8508,2x² + 9x + 5 = 0
eqn_0278,quadratic/eqn_0278,1,-17,60,-5.0,-12.0,(x + 5)(x + 12) = 0
eqn_0279,quadratic/eqn_0279,14,-12,-58,2.5086,-1.6515,14x² - 12x = 58
eqn_0280,quadratic/eqn_0280,8,17,1,-0.0605,-2.0645,17x + 1 = -8x²
